Product Name,Specification,Price
"Dynabook Portege X30W-K Business Laptop 13.3"" FHD Touch",Intel Core i5-1240P - 16GB RAM - 256GB SSD - Win 10 Pro (Win 11 Pro Lic) - AX WiFi 6E + BT5.2 - IR Cam - Thunderbolt 4 (PD & DP) - HDMI2.0 - MicroSD Reader - with Pen - 3Y Warranty,"1,653.12"
"HP EliteBook 840 G11 LTE Business Laptop 14"" FHD AG 1000nits SV",Intel Core Ultra 7-165U - vPro - 32GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Cam - 3Y NBD Onsite Warranty,"3,246.29"
"HP Elite Dragonfly G4 LTE Business Laptop 13.5"" WUXGA+ Touch 1000n",Intel Core i7-1365U vPro - 32GB RAM - 1TB SSD - Win 11 Pro - 3Y NBD Onsite Warranty - AX WiFi 6E + BT5.3,"5,024.34"
"HP ProBook 460 G11 Business Laptop 16"" WUXGA Touch",Intel Core Ultra 7 155H - 32GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,139.00"
Microsoft Surface Laptop Studio 2,Intel Core i7 13th Gen - 16GB RAM - 512GB SSD - NVIDIA GeForce RTX 4050 - Win 11 Home,"4,599.00"
"HP EliteBook 650 G10 Business Laptop 15.6"" FHD",Intel Core i5-1335U - 64GB RAM - 2TB SSD - Win 11 Pro - AX WiFi 6E + BT5.2 - 3Y NBD Onsite Warranty,"3,323.50"
"Lenovo ThinkBook 14 G7 Business Laptop 14"" WUXGA",Intel Core Ultra 7 155U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,894.05"
"HP EliteBook 840 G11 14"" FHD AG 300nits Touch Business Laptop",Intel Core U7-165U - vPro - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,638.24"
"Apple MacBook Air 15"" Laptop with M3 Chip - Space Grey",16GB Unified Memory - 512GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,645.00"
"MSI Prestige 16 AI+ Evo B2VMG-010NZ NetxGen AI PC 16"" UHD+ OLED",Intel Core Ultra 9 288V - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Warranty - BE WiFi 7 + BT5.4,"3,599.01"
"HP 255 G10 15.6"" FHD",AMD Ryzen 7 7730U - 16GB RAM - 500GB SSD - Win 11 Pro - AX WiFi 6 + BT5.3 - Webcam - 1yr PB warranty,"1,288.00"
"ASUS Zenbook 14 UX3405CA Business Laptop 14"" 2K 120Hz Touch OLED",Intel Core Ultra 9 285H - 32GB RAM - 1TB SSD - Win 11 Pro - BE WiFi7 + BT5.4 - IR Cam - Thunderbolt4 (with PD & DP) - HDMI2.1 TMDS - 1yr warranty,"2,999.00"
"HP ZBook Power G11 Mobile Workstation 16"" FHD Touch",Intel Core Ultra 7 155H - 32GB RAM - 512GB SSD - RTX 1000 Ada - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"3,404.61"
"HP ProBook 440 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 7-155U - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,129.80"
"HP EliteBook 840 G11 LTE Business Laptop 14"" FHD AG 300nits Touch",Intel Core U7-155U - 16GB RAM - 256GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Cam - 3Y NBD Onsite Warranty,"2,570.58"
"Apple Macbook Pro 16"" Laptop with M3 Pro Chip - Silver",36GB Unified Memory - 512GB SSD - 12-Core CPU - 18-Core GPU - 16-inch Liquid Retina XDR Display - 140W USB-C Power Adapter,"4,999.00"
"HP EliteBook 660 G11 16"" FHD AG 300nits Business Laptop",Intel Core U7-155U - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,070.00"
"Dell Latitude 5000 Series 5450 Business Laptop 14"" FHD",Intel Core Ultra 7 155U - 32GB RAM - 512GB SSD - Win 11 Pro - 1Y PB Warranty,"2,559.82"
"HP EliteBook 840 G10 Business Laptop 14"" WUXGA",Intel Core i5-1335U - 32GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E vPro + BT5.3 - 3Y NBD Onsite Warranty,"2,333.66"
"HP ZBook Power G11 Mobile Workstation 16"" FHD Touch",Intel Core Ultra 7 155H - 16GB RAM - 512GB SSD - RTX A500 Ada - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"2,966.66"
"Dell Latitude 5000 Series 5440 Business Laptop 14"" FHD",Intel Core i7-1365U - 16GB RAM - 256GB SSD - AX WiFi 6E + BT5.2 - FHD Camera - Backlit keyboard - Win 11 Pro - 1Y Onsite Warranty,"1,782.50"
"HP ProBook 440 G11 Business Laptop 14"" FHD AG Touch",Intel Core Ultra 7-155H - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FHD Cam - USB-C (PD & DP2.1) - HDMI2.1b - Backlit Keyboard - Win 11 Pro - 1Y Onsite Warranty,"2,471.65"
"Apple Macbook Air 13"" Laptop with M3 Chip - CTO - - Midnight",16GB Unified Memory - 1TB SSD - 8-Core CPU - 10-Core GPU - 35W Dual USB-C Port Power Adapter,"2,699.00"
"HP EliteBook x360 1040 G11 14"" FHD AG 400nits Business Laptop Touchscreen",Intel Core U5-135H - vPro - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - with Wacom Pen - 3Y NBD Onsite Warranty,"2,739.68"
"HP ProBook 440 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 7-155U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,696.00"
"HP EliteBook 660 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 32GB RAM - 512GB SSD - Win 11 Pro - 3Y NBD Onsite Warranty - AX WiFi 6E + BT5.3 - FPR - IR Cam,"2,012.50"
"Dell Latitude 5000 Series 5440 Business Laptop 14"" FHD",Intel Core i7-1365U - 32GB RAM - 1TB SSD - AX WiFi 6E + BT5.2 - FHD Camera - Backlit keyboard - Win 11 Pro - 1Y Onsite Warranty,"2,104.50"
